2025-02-24 00:04:09 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:04:09 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:04:09 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:04:09 install libssh2-1:amd64 <none> 1.10.0-3+b1
2025-02-24 00:04:09 status half-installed libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:04:10 status unpacked libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:04:10 install libcurl4:amd64 <none> 7.88.1-10+deb12u8
2025-02-24 00:04:10 status half-installed libcurl4:amd64 7.88.1-10+deb12u8
2025-02-24 00:04:10 status unpacked libcurl4:amd64 7.88.1-10+deb12u8
2025-02-24 00:04:10 install curl:amd64 <none> 7.88.1-10+deb12u8
2025-02-24 00:04:10 status half-installed curl:amd64 7.88.1-10+deb12u8
2025-02-24 00:04:10 status unpacked curl:amd64 7.88.1-10+deb12u8
2025-02-24 00:04:10 install fonts-dejavu-core:all <none> 2.37-6
2025-02-24 00:04:10 status half-installed fonts-dejavu-core:all 2.37-6
2025-02-24 00:04:10 status unpacked fonts-dejavu-core:all 2.37-6
2025-02-24 00:04:10 install fontconfig-config:amd64 <none> 2.14.1-4
2025-02-24 00:04:10 status half-installed fontconfig-config:amd64 2.14.1-4
2025-02-24 00:04:11 status unpacked fontconfig-config:amd64 2.14.1-4
2025-02-24 00:04:11 install libabsl20220623:amd64 <none> 20220623.1-1
2025-02-24 00:04:11 status half-installed libabsl20220623:amd64 20220623.1-1
2025-02-24 00:04:11 status unpacked libabsl20220623:amd64 20220623.1-1
2025-02-24 00:04:11 install libaom3:amd64 <none> 3.6.0-1+deb12u1
2025-02-24 00:04:11 status half-installed libaom3:amd64 3.6.0-1+deb12u1
2025-02-24 00:04:11 status unpacked libaom3:amd64 3.6.0-1+deb12u1
2025-02-24 00:04:12 install libdav1d6:amd64 <none> 1.0.0-2+deb12u1
2025-02-24 00:04:12 status half-installed libdav1d6:amd64 1.0.0-2+deb12u1
2025-02-24 00:04:12 status unpacked libdav1d6:amd64 1.0.0-2+deb12u1
2025-02-24 00:04:12 install libgav1-1:amd64 <none> 0.18.0-1+b1
2025-02-24 00:04:12 status half-installed libgav1-1:amd64 0.18.0-1+b1
2025-02-24 00:04:12 status unpacked libgav1-1:amd64 0.18.0-1+b1
2025-02-24 00:04:12 install librav1e0:amd64 <none> 0.5.1-6
2025-02-24 00:04:12 status half-installed librav1e0:amd64 0.5.1-6
2025-02-24 00:04:12 status unpacked librav1e0:amd64 0.5.1-6
2025-02-24 00:04:12 install libsvtav1enc1:amd64 <none> 1.4.1+dfsg-1
2025-02-24 00:04:12 status half-installed libsvtav1enc1:amd64 1.4.1+dfsg-1
2025-02-24 00:04:13 status unpacked libsvtav1enc1:amd64 1.4.1+dfsg-1
2025-02-24 00:04:13 install libjpeg62-turbo:amd64 <none> 1:2.1.5-2
2025-02-24 00:04:13 status half-installed libjpeg62-turbo:amd64 1:2.1.5-2
2025-02-24 00:04:13 status unpacked libjpeg62-turbo:amd64 1:2.1.5-2
2025-02-24 00:04:13 install libyuv0:amd64 <none> 0.0~git20230123.b2528b0-1
2025-02-24 00:04:13 status half-installed libyuv0:amd64 0.0~git20230123.b2528b0-1
